variable_name,dtype,desc
Format,unknown,A data frame with 5735 rows and 74 variables:
survival,binary,"Outcome: 1 if a patient survived after 30 days of admission, and 0 if a patient died within 30 days"
RHC,binary,"Treatment: 1 if RHC was applied within 24 hours of admission, and 0 otherwise."
age,numeric,Age in years
edu,unknown,Years of education
cardiohx,unknown,Cardiovascular symptoms
chfhx,unknown,Congestive Heart Failure
dementhx,unknown,"Dementia, stroke or cerebral infarct, Parkinson’s disease"
psychhx,unknown,"Psychiatric history, active psychosis or severe depression"
chrpulhx,unknown,"Chronic pulmonary disease, severe pulmonary disease"
renalhx,unknown,"Chronic renal disease, chronic hemodialysis or peritoneal dialysis"
liverhx,unknown,"Cirrhosis, hepatic failure"
gibledhx,unknown,Upper GI bleeding
malighx,numeric,"Solid tumor, metastatic disease, chronic leukemia/myeloma, acute leukemia, lymphoma"
immunhx,unknown,"Immunosuppression, organ transplant, HIV, Diabetes Mellitus, Connective Tissue Disease"
transhx,unknown,transfer (> 24 hours) from another hospital
amihx,unknown,Definite myocardial infarction
das2d3pc,unknown,DASI - Duke Activity Status Index
surv2md1,unknown,Estimate of prob. of surviving 2 months
aps1,numeric,APACHE score
scoma1,numeric,Glasgow coma score
meanbp1,numeric,Mean Blood Pressure
resp1,numeric,Respiratory Rate
hrt1,numeric,Heart Rate
pafi1,numeric,PaO2/FI02 ratio
cat1_CHF,binary,"1 if the primary disease category is CHF, and 0 otherwise (Omitted category = ARF)."
cat1_Cirrhosis,binary,"1 if the primary disease category is Cirrhosis, and 0 otherwise (Omitted category = ARF)."
cat1_Colon_Cancer,binary,"1 if the primary disease category is Colon Cancer, and 0 otherwise (Omitted category = ARF)."
cat1_Coma,binary,"1 if the primary disease category is Coma, and 0 otherwise (Omitted category = ARF)."
cat1_COPD,binary,"1 if the primary disease category is COPD, and 0 otherwise (Omitted category = ARF)."
cat1_Lung_Cancer,binary,"1 if the primary disease category is Lung Cancer, and 0 otherwise (Omitted category = ARF)."
cat1_MOSF_Malignancy,binary,"1 if the primary disease category is MOSF w/Malignancy, and 0 otherwise (Omitted category = ARF)."
cat1_MOSF_Sepsis,binary,"1 if the primary disease category is MOSF w/Sepsis, and 0 otherwise (Omitted category = ARF)."
ca_Metastatic,binary,"1 if cancer is metastatic, and 0 otherwise (Omitted category = no cancer)."
ca_Yes,binary,"1 if cancer is localized, and 0 otherwise (Omitted category = no cancer)."
ninsclas_Medicaid,binary,"1 if medical insurance category is Medicaid, and 0 otherwise (Omitted category = Private)."
ninsclas_Medicare,binary,"1 if medical insurance category is Medicare, and 0 otherwise (Omitted category = Private)."
ninsclas_Medicare_and_Medicaid,binary,"1 if medical insurance category is Medicare & Medicaid, and 0 otherwise (Omitted category = Private)."
ninsclas_No_insurance,binary,"1 if medical insurance category is No Insurance, and 0 otherwise (Omitted category = Private)."
ninsclas_Private_and_Medicare,binary,"1 if medical insurance category is Private & Medicare, and 0 otherwise (Omitted category = Private)."
race_black,binary,"1 if Black, and 0 otherwise (Omitted category = White)."
race_other,binary,"1 if Other, and 0 otherwise (Omitted category = White)."
income3,binary,"1 if Income >$50k, and 0 otherwise (Omitted category = under $11k)."
income1,binary,"1 if Income $11–$25k, and 0 otherwise (Omitted category = under $11k)."
income2,binary,"1 if Income $25–$50k, and 0 otherwise (Omitted category = under $11k)."
resp_Yes,unknown,Respiratory diagnosis
card_Yes,unknown,Cardiovascular diagnosis
neuro_Yes,unknown,Neurological diagnosis
gastr_Yes,unknown,Gastrointestinal diagnosis
renal_Yes,unknown,Renal diagnosis
meta_Yes,unknown,Metabolic diagnosis
hema_Yes,unknown,Hematological diagnosis
seps_Yes,unknown,Sepsis diagnosis
trauma_Yes,unknown,Trauma diagnosis
ortho_Yes,unknown,Orthopedic diagnosis
dnr1_Yes,unknown,Do Not Resuscitate status on day 1
cat2_Cirrhosis,binary,"1 if the secondary disease category is Cirrhosis, and 0 otherwise (Omitted category = NA)."
cat2_Colon_Cancer,binary,"1 if secondary disease category is Colon Cancer, and 0 otherwise (Omitted category = NA)."
cat2_Coma,binary,"1 if the secondary disease category is Coma, and 0 otherwise (Omitted category = NA)."
cat2_Lung_Cancer,binary,"1 if the secondary disease category is Lung Cancer, and 0 otherwise (Omitted category = NA)."
cat2_MOSF_Malignancy,binary,"1 if the secondary disease category is MOSF w/Malignancy, and 0 otherwise (Omitted category = NA)."
cat2_MOSF_Sepsis,binary,"1 if the secondary disease category is MOSF w/Sepsis, and 0 otherwise (Omitted category = NA)."
wt0,numeric,weight = 0 (missing)
